Model,Accuracy,Precision,Recall,F1 Score
C4.5,0.9725274725274725,0.991869918699187,0.9312977099236641,0.9606299212598425
CART,0.989010989010989,0.9922480620155039,0.9770992366412213,0.9846153846153846
RandomForest,1.0,1.0,1.0,1.0
Gaussian NaiveBayes,0.9368131868131868,0.9285714285714286,0.8931297709923665,0.9105058365758756
SVM,0.9697802197802198,0.9918032786885246,0.9236641221374046,0.9565217391304348
KNN,0.9532967032967034,0.9672131147540983,0.9007633587786259,0.9328063241106719
LogisticRegression,0.9752747252747253,0.9919354838709677,0.9389312977099237,0.9647058823529411
AdaBoost,1.0,1.0,1.0,1.0
GradientBoosting,1.0,1.0,1.0,1.0
xgb,1.0,1.0,1.0,1.0
